s_no,task_title,status,deadline,frequency,intervention,expected_output,priority_code,team_name,member_email,member_name
1,Airport copy -2 designs,NOT_STARTED,,,NO,,P2,,,
2,Skill Passport Launch,COMPLETED,,,NO,,P2,,,
3,RGU Coffee Table Book,PARKED,,,NO,,P2,,,
4,OLT Training feedback to be collected (excluding food-related feedback) - Dr.Raje (CAT Team),NOT_STARTED,,,NO,,P1,,,
5,School of Commerce Assessment feedback to be collected from the students - Dr.Krishnaraj,NOT_STARTED,,,NO,,P1,,,
6,Corporate & Academic Council Create a On Boarding poster,PARKED,,,NO,,P1,Arunraaj Manickaraj,,
7,Krishnakumar-Controller of Examination -RGU marksheet,NOT_STARTED,,,NO,,P1,,,
8,Times Now Promotion Plan-Viscom Sathish,COMPLETED,,,NO,,P1,,,
9,Online Presentation for Google AI CoE,PARKED,2026-04-30 00:00:00,,NO,,P1,Dr.Arun Kumar,,
10,Meeting for IT Server for RSmart classes with IT team,COMPLETED,2026-04-30 00:00:00,,NO,,P1,,,
11,Online meeting with HBS with MBA leader,COMPLETED,2026-05-01 00:00:00,,NO,,P1,Dr.Raje,,
12,Legacy Wall Unveiled,DELAYED,,,NO,,P2,,,
13,Skill Passport,COMPLETED,,,NO,,P3,,,
14,Guest finalisation,COMPLETED,,,NO,,P1,,,
15,School of Fashion Design - Plan for Demo Day and monitor the expected outcomes - Dr.Aruna,NOT_STARTED,,,NO,,P1,,,
16,Distinguished Corporate – Photos,COMPLETED,,,NO,,P1,RTC Head,,
17,Global University Connection,COMPLETED,,,NO,,P1,RTC Head,,
18,Paper ad for RGU launch,COMPLETED,,,NO,,P3,,,
19,RGU website content for each School,NOT_STARTED,2026-06-17 00:00:00,,NO,,P3,Meghala,,
20,RGU Logo Launch,COMPLETED,,,NO,,P2,,,
21,"School of Commerce 100% attendance is mandatory for Tally class,Commitment letter can be collected from Heads and yellow card can be issued if it is violated - Dr.Hema,Dr.Krishnaraj",NOT_STARTED,,,NO,,P1,,,
22,School of Fashion Design - Communication training program needs to be planned - Dr.Krishnaraj,NOT_STARTED,,,NO,,P1,,,
23,Yellow card system to be implemented for attendance violations - Dr.Krishnaraj,NOT_STARTED,,,NO,,P1,,,
24,VIP Guest List,COMPLETED,,,NO,,P1,RTC Head,,
25,Chief Guest,COMPLETED,,,NO,,P1,RTC Head,,
26,Commitment Card,COMPLETED,,,NO,,P1,RTC Head,,
27,School Video Launching,COMPLETED,,,NO,,P1,RTC Head,,
28,School Video Launching,COMPLETED,,,NO,,P1,RTC Head,,
29,Self Booth Completed,COMPLETED,,,NO,,P1,RTC Head,,
30,BBA Aviation Arivupattarai Plan,NOT_STARTED,2026-06-16 00:00:00,,NO,,P1,Dr.Krishnaraj,,
31,School & RGU Flags Raised,COMPLETED,,,NO,,P1,,,
32,CAT plan needs to be prepared and monitored - Dr.Raje (CAT Team),NOT_STARTED,,,NO,,P1,,,
33,Assessment process and evaluation framework need to be finalized - Dr.Raje (CAT Team),NOT_STARTED,,,NO,,P1,,,
34,Assessment outcomes and expected deliverables need to be finalized - Dr.Raje (CAT Team),NOT_STARTED,,,NO,,P1,,,
35,School of Media & Performing Arts - Attendance and learning outcomes need to be monitored regularly - Dr.Krishnaraj,NOT_STARTED,,,NO,,P1,,,
36,School of Fashion Design - Student feedback to be collected regularly - Dr.Krishnaraj,NOT_STARTED,,,NO,,P1,,,
37,"School of Fashion Design - Uniform plan to be finalized - Dr.Aruna,Dr.Krishnaraj",NOT_STARTED,,,NO,,P1,,,
38,Assessment plan to be standardized and implemented commonly across all levels - Dr.Raje (CAT Team),NOT_STARTED,,,NO,,P1,,,
39,115 offer letters need to be collected and properly documented by the Placement Office - Siva sir,NOT_STARTED,,,NO,,P1,,,
40,School of Media & Performing Arts - Feedback to be collected for all events conducted - Dr.Krishnaraj,NOT_STARTED,,,NO,,P1,,,
41,"School of Fashion Design - Demo Day calendar, concepts, and expected outcomes to be finalized - Department Team",NOT_STARTED,,,NO,,P1,,,
42,"School of Fashion Design - Budget requirement for learning activities to be discussed and finalized - Dr.Aruna ,Dr.Krishnaraj",NOT_STARTED,,,NO,,P1,,,
43,School of Psychology - Two days of casual dress plan can be considered for students - Dr.Seetha,NOT_STARTED,,,NO,,P1,,,
44,Day-wise attendance percentage needs to be monitored and reviewed regularly - Dr.Manikandan,NOT_STARTED,,,NO,,P1,,,
45,Feedback to be collected on MAT classes and LinkedIn Learning initiatives - Dr.Krishnaraj,NOT_STARTED,,,NO,,P1,,,
46,School of Fashion Design - Classes to be started for the 19 enrolled students with small deliverables and home assignments - Dr.Aruna,NOT_STARTED,,,NO,,P1,,,
47,School of Psychology - UG First Year uniform plan to be prepared - Dr.Seetha,NOT_STARTED,,,NO,,P1,,,
48,Hoarding for RGU with Jasmine advertisement - Pandi,COMPLETED,,,NO,,P1,,,
49,Corporate & Academic Council Thank You Poster - Krishnaraj,DELAYED,,,NO,,P2,RTC Head,,
50,SIM Card Purchase - Ramesh,COMPLETED,,,NO,,P1,Admission Manager,pandielavarasan@rathinam.in,Mr. Pandi Elavarasan
51,Assessment feedback to be collected from students and analyzed for improvement - Dr.Krishnaraj,NOT_STARTED,,,NO,,P1,,,
52,Target to place 281 students before July to be tracked and achieved -  Dr.MAnikandan,NOT_STARTED,,,NO,,P1,,,
53,School of Commerce Fortnight bond can be collected and implemented for all schools - Dr.Krishnaraj,NOT_STARTED,,,NO,,P1,,,
